step,agent,mean_reward,std_reward,mean_cum_regret,std_cum_regret,experiment,algo,noise_dist,noise_params
38,1,0.59,0.35,5.41,1.26,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
39,0,0.57,0.35,5.48,1.27,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
39,1,0.58,0.35,5.48,1.27,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
40,0,0.58,0.38,5.54,1.27,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
40,1,0.6,0.37,5.54,1.27,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
41,0,0.59,0.36,5.6,1.29,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
41,1,0.59,0.35,5.6,1.29,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
42,0,0.58,0.36,5.66,1.3,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
42,1,0.57,0.37,5.66,1.3,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
43,0,0.6,0.35,5.71,1.32,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
43,1,0.58,0.34,5.71,1.32,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
44,0,0.59,0.38,5.78,1.34,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
44,1,0.57,0.36,5.78,1.34,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
45,0,0.62,0.36,5.83,1.36,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
45,1,0.58,0.37,5.83,1.36,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
46,0,0.59,0.37,5.88,1.37,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
46,1,0.58,0.34,5.88,1.37,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
47,0,0.6,0.35,5.94,1.38,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
47,1,0.6,0.37,5.94,1.38,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
48,0,0.62,0.34,6.0,1.38,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
48,1,0.57,0.35,6.0,1.38,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
49,0,0.59,0.35,6.05,1.4,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
49,1,0.59,0.33,6.05,1.4,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
50,0,0.59,0.33,6.1,1.4,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
50,1,0.6,0.35,6.1,1.4,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
51,0,0.58,0.37,6.16,1.42,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
51,1,0.59,0.35,6.16,1.42,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
52,0,0.56,0.36,6.22,1.43,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
52,1,0.57,0.37,6.22,1.43,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
53,0,0.61,0.37,6.27,1.45,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
53,1,0.6,0.34,6.27,1.45,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
54,0,0.61,0.38,6.32,1.47,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
54,1,0.61,0.33,6.32,1.47,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
55,0,0.59,0.34,6.38,1.48,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
55,1,0.56,0.35,6.38,1.48,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
56,0,0.59,0.35,6.43,1.49,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
56,1,0.58,0.35,6.43,1.49,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
57,0,0.57,0.34,6.49,1.49,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
57,1,0.59,0.36,6.49,1.49,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
58,0,0.62,0.36,6.54,1.5,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
58,1,0.58,0.35,6.54,1.5,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
59,0,0.6,0.35,6.58,1.5,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
59,1,0.57,0.34,6.58,1.5,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
60,0,0.59,0.33,6.62,1.51,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
60,1,0.58,0.34,6.62,1.51,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
61,0,0.6,0.34,6.66,1.51,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
61,1,0.63,0.36,6.66,1.51,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
62,0,0.58,0.35,6.7,1.51,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
62,1,0.6,0.33,6.7,1.51,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
63,0,0.59,0.33,6.74,1.51,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
63,1,0.6,0.35,6.74,1.51,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
64,0,0.59,0.34,6.77,1.52,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
64,1,0.57,0.33,6.77,1.52,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
65,0,0.64,0.33,6.82,1.52,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
65,1,0.6,0.34,6.82,1.52,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
66,0,0.59,0.34,6.86,1.51,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
66,1,0.59,0.34,6.86,1.51,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
67,0,0.59,0.32,6.9,1.52,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
67,1,0.61,0.35,6.9,1.52,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
68,0,0.58,0.35,6.94,1.53,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
68,1,0.6,0.34,6.94,1.53,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
69,0,0.59,0.34,6.97,1.53,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
69,1,0.58,0.35,6.97,1.53,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
70,0,0.6,0.36,7.01,1.54,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
70,1,0.59,0.34,7.01,1.54,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
71,0,0.59,0.32,7.04,1.55,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
71,1,0.58,0.31,7.04,1.55,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
72,0,0.61,0.35,7.08,1.56,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
72,1,0.6,0.34,7.08,1.56,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
73,0,0.6,0.35,7.12,1.57,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
73,1,0.57,0.35,7.12,1.57,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
