step,mean_reward_agent_0,std_reward_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
11,0.536538523210013,1.046038076667951,3.4488,1.3961155253058393,0.5431260444692169,1.0303696739399275,3.4488,1.3961155253058393,0.775,0.771,0.225,0.229
12,0.6042391687892473,1.0558812071357864,3.6761999999999997,1.493878696548016,0.5360310376067926,1.0347380158975883,3.6761999999999997,1.493878696548016,0.806,0.759,0.194,0.241
13,0.5322971772716982,1.0375742689306127,3.889,1.6030343103003126,0.5803197249291289,1.028131692732565,3.889,1.6030343103003126,0.811,0.793,0.189,0.207
14,0.5732454907993656,1.056827158128936,4.098599999999999,1.7104613529688413,0.4858812919518186,0.9942022664155175,4.098599999999999,1.7104613529688413,0.815,0.801,0.185,0.199
15,0.5735445993441268,0.9995273087609634,4.3107999999999995,1.822120566812196,0.5071751756512815,1.002481799530213,4.3107999999999995,1.822120566812196,0.811,0.802,0.189,0.198
16,0.5764809671416853,1.0336255407530244,4.516799999999999,1.9232570707006378,0.5342352488951637,1.049925756091268,4.516799999999999,1.9232570707006378,0.817,0.805,0.183,0.195
17,0.5715044473936896,1.0602807798474916,4.702599999999999,2.0308996134718225,0.5005057854563161,1.0124710325485307,4.702599999999999,2.0308996134718225,0.843,0.818,0.157,0.182
18,0.5126155421145139,1.0473614562824838,4.9028,2.1272311016906453,0.5376410696268823,1.0449368703200523,4.9028,2.1272311016906453,0.834,0.799,0.166,0.201
19,0.5763636499535275,1.0935322342631832,5.083999999999999,2.2311934026435263,0.5721417578593109,1.0418046855359189,5.083999999999999,2.2311934026435263,0.844,0.826,0.156,0.174
20,0.559577293941734,1.0533484031235678,5.2664,2.321101255869721,0.6199650716059525,1.0346130848588588,5.2664,2.321101255869721,0.84,0.828,0.16,0.172
21,0.597329248760293,1.0484817971064946,5.439399999999999,2.42195120512367,0.5665407867531136,1.0287307127027263,5.439399999999999,2.42195120512367,0.857,0.832,0.143,0.168
22,0.6172288821886225,1.041380958433802,5.604999999999999,2.511544345616855,0.5745757147840277,1.0590572074407685,5.604999999999999,2.511544345616855,0.855,0.845,0.145,0.155
23,0.552804987322557,1.0627734806215199,5.760199999999999,2.6044531019006647,0.602021939484603,1.0433037178544555,5.760199999999999,2.6044531019006647,0.865,0.851,0.135,0.149
24,0.5557254617838793,1.0202723189974898,5.917199999999999,2.681705457353584,0.5646788847950829,1.024940748052159,5.917199999999999,2.681705457353584,0.865,0.852,0.135,0.148
25,0.5935114847463272,1.0282744793736893,6.073799999999999,2.7650883457857174,0.5387515373146962,1.030046766284817,6.073799999999999,2.7650883457857174,0.864,0.851,0.136,0.149
26,0.5796231807426736,1.073999872906773,6.2406,2.854538778857277,0.5474020767371419,1.0208460722873876,6.2406,2.854538778857277,0.861,0.841,0.139,0.159
27,0.623723356271564,1.0653101512170415,6.393799999999998,2.9255019330022654,0.5633866376239867,1.0406631805877082,6.393799999999998,2.9255019330022654,0.868,0.858,0.132,0.142
28,0.5271759246208617,1.050294220575454,6.534599999999998,2.9981465674646386,0.5469815721972267,1.0426738875846675,6.534599999999998,2.9981465674646386,0.873,0.875,0.127,0.125
29,0.5587123901441469,1.0297555671828416,6.690599999999998,3.0756449144854145,0.5969509903814509,1.0186278411337708,6.690599999999998,3.0756449144854145,0.866,0.858,0.134,0.142
30,0.5966421204543092,1.0478492046809242,6.826399999999999,3.156419338427642,0.5049622954214994,1.018303373206249,6.826399999999999,3.156419338427642,0.88,0.867,0.12,0.133
31,0.6003966090295721,1.0268695563342147,6.960199999999999,3.2328278580833825,0.5201568952485295,1.027327351416441,6.960199999999999,3.2328278580833825,0.884,0.873,0.116,0.127
32,0.5581578815593643,1.0227637997495416,7.096599999999999,3.3027122853800015,0.5424068656942884,1.0173303356335741,7.096599999999999,3.3027122853800015,0.882,0.872,0.118,0.128
33,0.5114986555945541,1.0334533830400046,7.233599999999998,3.37158583458882,0.5255478936977063,1.028832670614747,7.233599999999998,3.37158583458882,0.878,0.879,0.122,0.121
34,0.5801048862412024,1.0113704021249117,7.364399999999998,3.4415712458120047,0.5600634770411397,1.0258621174368934,7.364399999999998,3.4415712458120047,0.888,0.878,0.112,0.122
35,0.5914001215787571,1.0240826135355368,7.495199999999999,3.5053297933290093,0.5535651556373166,1.0175336028079718,7.495199999999999,3.5053297933290093,0.904,0.862,0.096,0.138
