step,mean_reward_agent_0,std_reward_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
19,0.5908457361210547,0.35103050130965047,3.6792,0.8955709687121394,0.5699492069637337,0.38100485436623355,3.6792,0.8955709687121394,0.918,0.898,0.082,0.102
20,0.5885012208682574,0.3864744675972439,3.8084000000000002,0.9463241727864715,0.5706234342829561,0.39735960988676106,3.8084000000000002,0.9463241727864715,0.888,0.87,0.112,0.13
21,0.5723502140795108,0.38977649575539053,3.922,0.9452597526606111,0.5716384308690986,0.3631913894972308,3.922,0.9452597526606111,0.894,0.898,0.106,0.102
22,0.5997050978121715,0.38856817381301295,4.0312,0.9756159900288635,0.5730933522844905,0.3624451553715854,4.0312,0.9756159900288635,0.918,0.892,0.082,0.108
23,0.5890567720241834,0.3843318239005958,4.1324,1.0075664940836409,0.5625288835309038,0.38484356396722513,4.1324,1.0075664940836409,0.926,0.884,0.074,0.116
24,0.5837855695872518,0.37539028872899527,4.2424,1.0197853891873523,0.5599567677024658,0.38256196169951506,4.2424,1.0197853891873523,0.934,0.88,0.066,0.12
25,0.5911324266917495,0.3594530598905791,4.3384,1.0407139088145212,0.5396585795633447,0.3831837981737506,4.3384,1.0407139088145212,0.94,0.892,0.06,0.108
26,0.5947113324072881,0.3612699205309889,4.4196,1.0546733333122627,0.6003300482707,0.3944198557844591,4.4196,1.0546733333122627,0.942,0.92,0.058,0.08
27,0.6002941584619708,0.38875931734878255,4.525199999999999,1.0648215625164619,0.5632454091524319,0.38571082267955775,4.525199999999999,1.0648215625164619,0.92,0.888,0.08,0.112
28,0.581151929344608,0.38007800490592203,4.6084,1.086061434726415,0.6025188962598363,0.3598548359917936,4.6084,1.086061434726415,0.93,0.926,0.07,0.074
29,0.5798250757344001,0.3480578174451636,4.686,1.098018214785164,0.570907446912724,0.3667344752159667,4.686,1.098018214785164,0.938,0.93,0.062,0.07
30,0.5655197895410023,0.3602868687154588,4.788399999999999,1.1162550962929572,0.5645259256842475,0.39202429320788035,4.788399999999999,1.1162550962929572,0.926,0.898,0.074,0.102
31,0.6107678991503831,0.37936637627894354,4.885199999999999,1.133499430965891,0.5941523251330927,0.3816008375780357,4.885199999999999,1.133499430965891,0.912,0.924,0.088,0.076
32,0.5995052876397847,0.34198311849798996,4.952,1.1414096547690487,0.5810009436843107,0.3563532206309078,4.952,1.1414096547690487,0.962,0.924,0.038,0.076
33,0.6007508043060884,0.36231553528705746,5.04,1.1490517829932638,0.5536211017849905,0.38841890213927655,5.04,1.1490517829932638,0.948,0.9,0.052,0.1
34,0.6194344715653555,0.3395557951895521,5.0924,1.1663371039283619,0.5626021176242127,0.37138268314652395,5.0924,1.1663371039283619,0.96,0.95,0.04,0.05
35,0.6114819640323781,0.35947763528662235,5.160799999999999,1.1799929491314762,0.5742559968965538,0.3644073672542978,5.160799999999999,1.1799929491314762,0.954,0.924,0.046,0.076
